Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,C/60,Crel/60,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,SAtt.,Thru%
1,Justin Abdelkader,24,DET,LW,81,794,698,53.2,-3.2,6.6,0.2,589,524,52.9,-3.7,7.4,93.1,100.5,59.3,40.7,12:19,10:44,16,14,196,61.7
2,Luke Adam,21,BUF,LW,52,488,495,49.6,1.8,-0.8,1.6,362,400,47.5,-0.2,7.4,92.2,99.6,57.5,42.5,12:24,10:40,24,16,167,53.3
3,Craig Adams,34,PIT,RW,82,530,545,49.3,-6.6,-1.3,-8.3,402,403,49.9,-6.4,7.8,89.3,97.1,43.8,56.2,11:17,8:19,13,7,130,58.5
4,Andrew Alberts,30,VAN,D,44,453,521,46.5,-7.7,-7.1,-11.5,313,389,44.6,-8.2,9.5,93.9,103.4,39.4,60.6,14:18,13:02,13,16,61,31.1
5,Daniel Alfredsson,39,OTT,RW,75,1182,922,56.2,4.3,14.4,12.3,832,724,53.5,2.3,9.0,92.4,101.4,58.0,42.0,18:57,14:25,50,58,337,56.7
6,Akim Aliu,22,CGY,RW,2,17,18,48.6,0.4,-2.8,0.5,12,17,41.4,-4.6,27.3,100.0,127.3,36.4,63.6,11:02,10:41,0,1,4,75.0
7,Bryan Allen,31,CAR,D,82,1192,1336,47.2,-1.9,-6.4,-5.3,848,960,46.9,-1.6,7.9,91.9,99.9,40.0,60.0,19:10,16:21,22,36,210,41.4
8,Cody Almond,22,MIN,C,10,63,113,35.8,-7.3,-33.0,-26.7,44,83,34.6,-9.1,3.6,88.2,91.8,48.0,52.0,10:13,9:06,3,2,13,53.8
9,Karl Alzner,23,WSH,D,82,1190,1417,45.6,-4.5,-9.3,-9.4,871,998,46.6,-3.5,9.5,92.9,102.5,41.2,58.8,20:52,17:49,18,48,146,38.4
10,Joakim Andersson,22,DET,C,5,27,22,55.1,3.3,9.0,6.7,23,18,56.1,4.9,7.1,100.0,107.1,73.3,26.7,6:40,6:40,0,0,3,100.0
